address	type	length	references	value
180406c10	TerminatedCString	27	1	FltCloseSectionForDataScan
180406c30	TerminatedCString	37	1	FltRequestFileInfoOnCreateCompletion
180406c58	TerminatedCString	38	1	FltRetrieveFileInfoOnCreateCompletion
180406c80	unicode	4	1	\
180406cb0	unicode	16	0	::$DATA
180406f10	string	16	0	.text$unlikely
180406f5c	string	8	0	.rdata
180406f94	string	8	0	.data
180406fb4	string	8	0	.pdata
180406fe4	string	8	0	.edata
18041f21c	TerminatedCString	9	1	wesp.dll
18041f225	TerminatedCString	12	1	DriverEntry
18041f231	TerminatedCString	18	1	EspFsDeleteStream
18041f243	TerminatedCString	21	1	EspFsFilePostCleanup
18041f258	TerminatedCString	20	1	EspFsFilePostCreate
18041f26c	TerminatedCString	19	1	EspFsFilePostFsctl
18041f27f	TerminatedCString	25	1	EspFsFilePostLockControl
18041f298	TerminatedCString	18	1	EspFsFilePostOpen
18041f2aa	TerminatedCString	39	1	EspFsFilePostQueryDirectoryInformation
18041f2d1	TerminatedCString	30	1	EspFsFilePostQueryInformation
18041f2ef	TerminatedCString	23	1	EspFsFilePostQueryOpen
18041f306	TerminatedCString	18	1	EspFsFilePostRead
18041f318	TerminatedCString	35	1	EspFsFilePostSetExtendedAttributes
18041f33b	TerminatedCString	28	1	EspFsFilePostSetInformation
18041f357	TerminatedCString	25	1	EspFsFilePostSetSecurity
18041f370	TerminatedCString	19	1	EspFsFilePostWrite
18041f383	TerminatedCString	20	1	EspFsFilePreCleanup
18041f397	TerminatedCString	19	1	EspFsFilePreCreate
18041f3aa	TerminatedCString	18	1	EspFsFilePreFsctl
18041f3bc	TerminatedCString	24	1	EspFsFilePreLockControl
18041f3d4	TerminatedCString	38	1	EspFsFilePreQueryDirectoryInformation
18041f3fa	TerminatedCString	29	1	EspFsFilePreQueryInformation
18041f417	TerminatedCString	22	1	EspFsFilePreQueryOpen
18041f42d	TerminatedCString	17	1	EspFsFilePreRead
18041f43e	TerminatedCString	34	1	EspFsFilePreSetExtendedAttributes
18041f460	TerminatedCString	27	1	EspFsFilePreSetInformation
18041f47b	TerminatedCString	24	1	EspFsFilePreSetSecurity
18041f493	TerminatedCString	18	1	EspFsFilePreWrite
18041f4a5	TerminatedCString	27	1	EspFsFileReleaseCompletion
